GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Biblioteca Pessoal,com.biblioteca.model,Book,12,79,0,0,4,35,4,18,4,18
Biblioteca Pessoal,com.biblioteca.model,StatusLeitura,3,32,0,0,1,7,1,2,1,2
Biblioteca Pessoal,com.biblioteca.model,User,42,41,0,0,17,17,13,8,13,8
Biblioteca Pessoal,com.biblioteca.model,Endereco,52,24,0,0,23,9,15,1,15,1
Biblioteca Pessoal,com.biblioteca.exception,CepInvalidoException,4,0,0,0,2,0,1,0,1,0
Biblioteca Pessoal,com.biblioteca.exception,ValidationException,0,13,0,0,0,4,0,2,0,2
Biblioteca Pessoal,com.biblioteca.exception,LivroNaoEncontradoException,0,4,0,0,0,2,0,1,0,1
Biblioteca Pessoal,com.biblioteca.exception,ApiIndisponivelException,4,0,0,0,2,0,1,0,1,0
Biblioteca Pessoal,com.biblioteca.exception,GlobalExceptionHandler,32,0,0,0,8,0,4,0,4,0
Biblioteca Pessoal,com.biblioteca.exception,EmailDuplicadoException,0,4,0,0,0,2,0,1,0,1
Biblioteca Pessoal,com.biblioteca.exception,CepNaoEncontradoException,4,0,0,0,2,0,1,0,1,0
Biblioteca Pessoal,com.biblioteca.config,SecurityConfig,93,0,0,0,19,0,6,0,6,0
Biblioteca Pessoal,com.biblioteca.config,WebClientConfig,18,0,0,0,5,0,2,0,2,0
Biblioteca Pessoal,com.biblioteca,BibliotecaApplication,8,0,0,0,3,0,2,0,2,0
Biblioteca Pessoal,com.biblioteca.dto,BookDTO,4,53,0,0,2,23,1,13,1,13
Biblioteca Pessoal,com.biblioteca.dto,UserDTO,24,56,0,0,12,23,6,17,6,17
Biblioteca Pessoal,com.biblioteca.dto,EnderecoInfo,46,0,0,0,20,0,10,0,10,0
Biblioteca Pessoal,com.biblioteca.service,BookService,0,188,1,9,0,42,1,13,0,9
Biblioteca Pessoal,com.biblioteca.service,BookValidator,10,164,4,44,3,34,4,25,0,5
Biblioteca Pessoal,com.biblioteca.service,UserService,0,147,4,16,0,28,4,11,0,5
Biblioteca Pessoal,com.biblioteca.service,CepLookupService,87,0,6,0,21,0,6,0,3,0
Biblioteca Pessoal,com.biblioteca.controller,BookController,77,131,1,3,18,30,2,9,1,8
Biblioteca Pessoal,com.biblioteca.controller,AuthController,55,21,0,0,14,7,1,4,1,4
Biblioteca Pessoal,com.biblioteca.controller,HomeController,12,0,4,0,4,0,4,0,2,0
Biblioteca Pessoal,com.biblioteca.controller,CepController,40,0,0,0,14,0,2,0,2,0
